"520525667939917824","@elvisduran @RadioBethany  E.D. as a gang sign. Not good. Stands for Erectile Disfunction.   Have a great day. You make my mornings bright"
"520525671630897152","@__Cierraa_ ion play no sports😤👊"
"520525675124781056","http://t.co/MQJZsseh6A"
"520525679943622657","#northofBaltimore  MD #Healthcare #Job: SLP position north of Baltimore  MD at Soliant Health http://t.co/w9QeDKJ4P4 #Jobs"
"520525680283762688","@LOARIAS turquía sabe algo acerca de"
"520525681944694786","“@90syears: Rt if you had one of these http://t.co/6VIjfb1rTT” @mauraflem"
"520525686390652928","@rolandsmartin what about AP smoking weed before a drug test?"
"520525686730416128","@MargaritaDS thank you!"
"520525687913205760","Lmao some guy on a plane yesterday goes "I have Ebola you're all screwed" #notsomethingyoujokeabout"
"520525689133338626","隣国が下か上かなんて別にいーじゃん。国家も会社も個人も変わらないと思う。確固たる未来像を目指そうと思た。でも1年後までしか見えない。そんなもんか。個人も国家も。 “@shigeruishiba: 予算委質疑など http://t.co/ciVhn8IyUj”"
"520525688676560896","Baby you my everything you all I eva wanted we can do it real babe"
"520525698440912896","@shirleyannemcm hopefully children will look after you too. Church  eh? Where at?"
"520525698482860032","Stole Rene's machine at the gym because SOMEONE hasn't been here!!! #Gym SnapFitness #GetFit… http://t.co/AxelZypOZV"
"520525702505185280","It's all about taking chances is this world  just jump.....!! ☺️"
"520525703025291264","no clue what I'm wearing  gunna throw together a bullshit outfit lol."
"520525705596383232","@MsNiecyBaby nope"
"520525706066153472","@mayanaaaa____ the 26"
"520525709568389121","@madisonna98 that's me omg I fell asleep"
"520525710402674689","Refueling after red eye &amp; before #brooklynbeta @ BK Roasting Company http://t.co/mKylGHGCAQ"
"520525719693438976","She threatened to block me on snapchat cah she's jealous 😭😂"
"520525719718608896","Wiz khalifa real livee gayy to me now😒 http://t.co/nvEpAH7hvf"
"520525724059701248","If I'm paying im wearing whateva I want😴💅"
"520525726421090304","💕💕 “@AboveAverageee_: Rushia ? — I miss you we use to be mad close http://t.co/XRE9porYuW”"
"520525730237923328","I wish I was in my bed 😆"
"520525733253627904","Gr8 #SovereignDebt panel w/ @Eric_LeCompte @JubileeUSA @IMFNews @bankofengland @UNDESA @jpam @JSauveFdn #188together http://t.co/lOcEpJVPUj"
"520525738349326336","RT @OECDdev: Mobilising resouces for #SustainableDevelopment #DCR2014 launch w/@SolheimDAC http://t.co/A9vmQNfcZV http://t.co/NShewV2xrG #GB"
"520525751024906240","#stocks futures down around 2.5% in the morning .selling pressure continues from yesterday.Is the fear of #commingcrash arrived?"
"520525752891342848","Have to carry all my Damn navy and cardinal books 😭😭"
"520525754933989376","ITS FRIDAY  SPIRIT DAY 🐶🔵⚪️⚫️  HOMECOMING 👫👑🎩  AND THE START OF A 3 DAY WEEKEND 🙌👏"
"520525756322291712","@CVS_Extra @DuaneReade you should be able to pack a cart from home and have it available for pickup in nearest available store! Boom!"
"520525756938866688","Check out http://t.co/VcsIgUsUwe  or lots more great Coming Out stories and resources and support http://t.co/7I8mg8wp1d"
"520525759530946560","I'm feeling a bit comeback in fantasy"
"520525759971332097","I Gotta Tell @Im_Blindian About This Dream I Had 😫"
"520525765038055424","Good morning! Moon over Manhattan. #romance #chandra #yogabrightandearly @ At Home! http://t.co/nmKlh2T3LN"
"520525766258614272","the sky in the morning makes it a little bit easier to be awake at this time"
"520525768246697985","Good way to start the morning off shattered my hole screen..."
"520525770360623104","@ZeroisRBLX amen."
"520525772097064961","Officials board flight from US after passenger allegedly makes statement about Ebola http://t.co/j1sh36cl4H #TheMorningNews"
"520525772373897216","so colddddd😔"
